REPOSITORY                            TAG                             IMAGE ID       CREATED         SIZE
<none>                                <none>                          21363efc8821   2 weeks ago     1.58GB
<none>                                <none>                          edc7ff8ab068   2 weeks ago     1.58GB
<none>                                <none>                          fc1efbc2aa55   2 weeks ago     1.58GB
<none>                                <none>                          841870de068c   2 weeks ago     1.58GB
<none>                                <none>                          7bef0a4d8f7a   2 weeks ago     1.58GB
<none>                                <none>                          5e88178479ee   2 weeks ago     1.58GB
<none>                                <none>                          468df46d32a8   2 weeks ago     58.5MB
<none>                                <none>                          df99657eea79   2 weeks ago     1.58GB
<none>                                <none>                          72a3a30cebde   2 weeks ago     1.58GB
<none>                                <none>                          bf8564518486   2 weeks ago     1.58GB
<none>                                <none>                          800f64e9b946   2 weeks ago     1.58GB
<none>                                <none>                          b3f56ca0b350   2 weeks ago     1.58GB
<none>                                <none>                          fd6868fad07b   2 weeks ago     58.5MB
<none>                                <none>                          208dc6b50642   2 weeks ago     1.58GB
<none>                                <none>                          f2addc9ea54c   2 weeks ago     1.58GB
<none>                                <none>                          8876d6a0018f   2 weeks ago     1.58GB
<none>                                <none>                          cb324db042e4   2 weeks ago     1.58GB
<none>                                <none>                          71affda392e4   2 weeks ago     1.58GB
<none>                                <none>                          5cbdbd2ba995   2 weeks ago     1.58GB
<none>                                <none>                          c7010e280280   2 weeks ago     1.58GB
<none>                                <none>                          51640326ad9d   2 weeks ago     1.58GB
<none>                                <none>                          78022c9839da   2 weeks ago     1.58GB
<none>                                <none>                          0e76c732646d   2 weeks ago     1.38GB
<none>                                <none>                          171595db2645   2 weeks ago     1.38GB
<none>                                <none>                          7c41746622d1   2 weeks ago     1.38GB
<none>                                <none>                          5304295635ed   2 weeks ago     1.38GB
<none>                                <none>                          a5f09702086c   2 weeks ago     1.38GB
<none>                                <none>                          434a83b06a2c   2 weeks ago     1.38GB
<none>                                <none>                          11deca407fcf   2 weeks ago     1.38GB
<none>                                <none>                          d7dc77e8c355   2 weeks ago     58.5MB
<none>                                <none>                          ec2b68126dfc   2 weeks ago     1.38GB
<none>                                <none>                          99bc972bc53a   2 weeks ago     1.38GB
<none>                                <none>                          f0f4424eb62c   2 weeks ago     1.38GB
<none>                                <none>                          a860c3c5ac65   2 weeks ago     58.5MB
<none>                                <none>                          7a15cb8497f7   2 weeks ago     1.38GB
<none>                                <none>                          4bf3f1eb0ec1   2 weeks ago     1.38GB
<none>                                <none>                          c7369555a8b0   2 weeks ago     1.38GB
<none>                                <none>                          75f3649091ee   2 weeks ago     1.38GB
<none>                                <none>                          26ea1ee1b097   2 weeks ago     1.38GB
<none>                                <none>                          97065bc039ce   2 weeks ago     1.38GB
<none>                                <none>                          3434298502ec   2 weeks ago     1.38GB
<none>                                <none>                          8f52a7627e51   2 weeks ago     1.38GB
<none>                                <none>                          b1cf10cf021e   2 weeks ago     1.38GB
<none>                                <none>                          4647cec1df2f   2 weeks ago     1.38GB
<none>                                <none>                          c8652bf597e2   2 weeks ago     58.4MB
<none>                                <none>                          eef3990312bd   2 weeks ago     1.38GB
<none>                                <none>                          bbb8612d4289   2 weeks ago     1.38GB
<none>                                <none>                          f7b15611e14a   2 weeks ago     1.38GB
<none>                                <none>                          c897d1bcf888   2 weeks ago     1.38GB
<none>                                <none>                          f333d9b0cfab   2 weeks ago     58.4MB
<none>                                <none>                          a4c1ab367b39   2 weeks ago     58.4MB
<none>                                <none>                          d1512b388e4b   2 weeks ago     58.4MB
<none>                                <none>                          d43200c7a606   2 weeks ago     58.4MB
<none>                                <none>                          95328648b751   2 weeks ago     58.4MB
<none>                                <none>                          8926e89e27e0   2 weeks ago     1.38GB
<none>                                <none>                          28c66ebe8e45   2 weeks ago     1.38GB
<none>                                <none>                          238a82bfdc10   2 weeks ago     1.38GB
<none>                                <none>                          67fa7403dc9f   2 weeks ago     58.4MB
<none>                                <none>                          abff2d1a0c68   2 weeks ago     1.38GB
<none>                                <none>                          70484f6f46d9   2 weeks ago     1.38GB
<none>                                <none>                          6aa415d24f1c   2 weeks ago     1.38GB
<none>                                <none>                          d4ab13181765   2 weeks ago     1.38GB
<none>                                <none>                          0eeb4bd751b7   2 weeks ago     58.4MB
<none>                                <none>                          d35650466864   2 weeks ago     1.38GB
<none>                                <none>                          37451f94fd76   2 weeks ago     1.38GB
<none>                                <none>                          75180bab9f58   2 weeks ago     1.38GB
<none>                                <none>                          4799f5a06d38   2 weeks ago     1.38GB
<none>                                <none>                          36c3639baca9   2 weeks ago     1.38GB
<none>                                <none>                          fa522734a39c   2 weeks ago     418MB
<none>                                <none>                          7e1208d34cea   2 weeks ago     678MB
<none>                                <none>                          6f1f63042600   2 weeks ago     58.4MB
<none>                                <none>                          d8f4e0103536   2 weeks ago     1.38GB
<none>                                <none>                          de73ff0d9fbd   2 weeks ago     1.38GB
<none>                                <none>                          cb256a88bb8e   2 weeks ago     58.4MB
<none>                                <none>                          032a7a9fa8c4   2 weeks ago     1.38GB
<none>                                <none>                          228a70ffb345   2 weeks ago     1.38GB
<none>                                <none>                          ca83e23011b5   2 weeks ago     58.4MB
<none>                                <none>                          e3770cb54991   2 weeks ago     58.4MB
<none>                                <none>                          fa7a7d8bda5a   2 weeks ago     58.4MB
<none>                                <none>                          d38f1b0fb9d2   2 weeks ago     58.4MB
<none>                                <none>                          8c3dc22e6347   2 weeks ago     1.38GB
<none>                                <none>                          000a90c73f4f   2 weeks ago     1.38GB
<none>                                <none>                          0e2ec8ff2a6c   2 weeks ago     58.4MB
<none>                                <none>                          cedc996897fe   2 weeks ago     58.4MB
<none>                                <none>                          19f14e523a72   2 weeks ago     1.38GB
<none>                                <none>                          52d92766f932   2 weeks ago     1.38GB
<none>                                <none>                          9a91f749c432   2 weeks ago     58.4MB
<none>                                <none>                          b7d4e7a1ba24   2 weeks ago     58.4MB
<none>                                <none>                          1133b017186e   2 weeks ago     1.38GB
<none>                                <none>                          115589a6aed1   2 weeks ago     1.38GB
<none>                                <none>                          361d094e1fdc   2 weeks ago     1.38GB
<none>                                <none>                          f72c0b046ad9   2 weeks ago     1.38GB
<none>                                <none>                          b01960d5490d   2 weeks ago     58.4MB
<none>                                <none>                          c31afd621dbc   2 weeks ago     1.38GB
<none>                                <none>                          511cbccadf4e   2 weeks ago     1.38GB
<none>                                <none>                          45b3405df032   2 weeks ago     1.38GB
<none>                                <none>                          f57744186f94   2 weeks ago     58.4MB
<none>                                <none>                          f081660f0dfc   2 weeks ago     1.38GB
<none>                                <none>                          5dad47a9c7a5   2 weeks ago     1.38GB
<none>                                <none>                          0acbf5f861df   2 weeks ago     1.38GB
<none>                                <none>                          51eb639b7bd5   2 weeks ago     58.4MB
<none>                                <none>                          a7d35594ad50   2 weeks ago     1.38GB
<none>                                <none>                          cdf96d7455dd   2 weeks ago     1.38GB
<none>                                <none>                          46528b990571   2 weeks ago     1.38GB
<none>                                <none>                          db963000ccd9   2 weeks ago     1.38GB
<none>                                <none>                          8eec400a99d7   2 weeks ago     1.38GB
<none>                                <none>                          6970549f6722   2 weeks ago     1.38GB
<none>                                <none>                          4b278b706477   2 weeks ago     1.38GB
<none>                                <none>                          5d8b07152833   2 weeks ago     1.38GB
<none>                                <none>                          1f74becc7851   2 weeks ago     1.38GB
<none>                                <none>                          d9670ca5648e   2 weeks ago     1.38GB
<none>                                <none>                          4a24c94c8b83   2 weeks ago     58.4MB
<none>                                <none>                          146e563cc75b   2 weeks ago     1.38GB
<none>                                <none>                          e3d2d4a855de   2 weeks ago     1.38GB
<none>                                <none>                          cf0c5f026b49   2 weeks ago     418MB
<none>                                <none>                          6b6c308ef43f   2 weeks ago     1.38GB
<none>                                <none>                          ec18dc84d09a   2 weeks ago     677MB
<none>                                <none>                          9c0ef04835a5   2 weeks ago     58.4MB
<none>                                <none>                          7df470a7e513   2 weeks ago     418MB
<none>                                <none>                          75b53a5364b6   2 weeks ago     58.4MB
<none>                                <none>                          f8315f844d94   2 weeks ago     1.38GB
<none>                                <none>                          6f4f39c32ef8   2 weeks ago     1.38GB
postgres                              16                              88a36c64c100   2 weeks ago     451MB
postgres                              15                              9a18aed4ecdd   2 weeks ago     445MB
<none>                                <none>                          3f3c13f68af7   2 weeks ago     1.38GB
python                                3.12-slim                       25c5b8011a34   2 weeks ago     119MB
docker.m.daocloud.io/library/python   3.11-slim                       1c03896dbf0e   2 weeks ago     125MB
redis                                 7                               bcb827524ebc   2 weeks ago     113MB
<none>                                <none>                          21a00fd53418   2 weeks ago     58.3MB
<none>                                <none>                          4df9e4f749fb   2 weeks ago     1.31GB
<none>                                <none>                          d2f7a402d5c1   2 weeks ago     1.31GB
postgres                              16-alpine                       de3a4eab8fdf   3 weeks ago     294MB
postgres                              <none>                          429cf02fe6f0   3 weeks ago     445MB
<none>                                <none>                          a581c629297f   4 weeks ago     415MB
<none>                                <none>                          0e273dbc9b9d   4 weeks ago     833MB
<none>                                <none>                          643cd31b940f   4 weeks ago     644MB
<none>                                <none>                          d41f0afea176   4 weeks ago     628MB
redis                                 <none>                          c6b72caa91cd   5 weeks ago     113MB
pgsty/minio                           RELEASE.2026-04-17T00-00-00Z    189b8c3df077   3 months ago    165MB
alpine                                3.20                            bf8527eb54c3   3 months ago    7.81MB
chromadb/chroma                       1.5.8                           7ab286a81223   3 months ago    645MB
mysql                                 8.0                             a123df39bc7c   4 months ago    786MB
a14rag-frontend                       latest                          8b566d870603   5 months ago    64.9MB
<none>                                <none>                          dc29e1d33263   5 months ago    64.9MB
a14rag-backend                        latest                          956bcc11495d   5 months ago    462MB
<none>                                <none>                          0d2bb6ef8208   5 months ago    64.9MB
<none>                                <none>                          0ba2afbab5cf   5 months ago    462MB
redis                                 latest                          c234a24851ba   5 months ago    140MB
maven                                 3.9-eclipse-temurin-21-alpine   5ebc930637cc   5 months ago    382MB
eclipse-temurin                       21-jdk-alpine                   4b060c8487c8   5 months ago    363MB
nginx                                 alpine                          b76de378d572   5 months ago    62.1MB
rabbitmq                              3-management                    de912cbbf07f   8 months ago    252MB
minio/minio                           latest                          69b2ec208575   10 months ago   175MB
minio/mc                              latest                          c2ad77420d33   10 months ago   84.9MB
node                                  18.20-alpine                    ee77c6cd7c18   16 months ago   127MB
langgenius/dify-plugin-daemon         0.0.3-local                     98e493768cf1   17 months ago   909MB
langgenius/dify-api                   1.0.0                           e75fe639e420   17 months ago   2.14GB
langgenius/dify-web                   1.0.0                           0325f9a1e172   17 months ago   472MB
postgres                              15-alpine                       235e26878484   17 months ago   273MB
langgenius/dify-plugin-daemon         0.0.2-local                     2df4860e4330   17 months ago   902MB
langgenius/dify-web                   0.15.3                          f0fae584255f   18 months ago   436MB
langgenius/dify-api                   0.15.3                          e05373163e63   18 months ago   2.97GB
nginx                                 latest                          b52e0b094bc0   18 months ago   192MB
yedf/dtm                              latest                          8e31ff9f7dad   18 months ago   72.5MB
redis                                 6-alpine                        6dd588768b9b   19 months ago   30.2MB
neo4j                                 4.4.40                          a5fec7366b09   19 months ago   525MB
langgenius/dify-sandbox               0.2.10                          4328059557e8   21 months ago   567MB
ubuntu/squid                          latest                          87507c4542d0   23 months ago   242MB
mysql                                 8.0.39                          f5da8fc4b539   2 years ago     573MB
ankane/pgvector                       latest                          f2c967e41f72   2 years ago     440MB
semitechnologies/weaviate             1.19.0                          8ec9f084ab23   3 years ago     52.5MB
nginx                                 1.24.0                          6c0218f16876   3 years ago     142MB
